Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
2694;expert;DiamondL;2018;0;2;0;3089
2695;expert;Manan Jhaveri;2020;0;1;1;3088
2696;expert;Yimin Nie;2015;0;3;2;3086
2697;expert;Nacir Bouazizi;2020;0;1;2;3085
2698;expert;KuzudeWaifuDes;2021;0;1;1;3085
2699;expert;T-KAWA;2017;0;1;1;3083
2700;expert;a-mp;2020;0;3;1;3083
2701;expert;iws;2020;0;2;1;3082
2702;expert;JeffH;2014;0;2;3;3077
2703;master;Yang Lin;2017;1;2;2;3071
2704;expert;chmtomasz;2017;0;1;2;3070
2705;master;cpuwdl;2018;1;4;6;3069
2706;expert;Andrey Anisimov;2018;0;0;2;3067
2707;expert;paykoon;2020;0;2;3;3067
2708;expert;Marcin Bodych;2018;0;1;2;3063
2709;expert;Bruno G. do Amaral;2015;0;5;2;3058
2710;master;Jianmin Sun;2014;1;12;9;3056
2711;master;Cheng;2016;2;4;2;3054
2712;expert;JJ;2016;0;1;1;3051
2713;expert;masapen;2019;0;1;1;3050
2714;expert;Andrey Zotov;2020;0;1;2;3049
2715;master;datachef17;2019;2;1;0;3046
2716;expert;Forfitting;2020;0;2;0;3046
2717;expert;Chinmay Jain;2020;0;0;2;3045
2718;expert;px wang j;2019;0;1;1;3042
2719;expert;Shota;2019;0;2;1;3042
2720;master;RW;2014;3;5;3;3041
2721;master;jinxiwang;2019;2;1;1;3041
2722;expert;shiron8bit;2016;0;1;3;3040
2723;master;ekffar;2018;1;5;0;3038
2724;master;Tomasz Gilewicz;2019;1;2;0;3035
2725;expert;??;2017;0;3;2;3031
2726;master;Georgiy Danshchin;2015;3;2;1;3030
2727;master;Akasyanama;2016;1;2;3;3029
2728;expert;DanteLockhart;2021;0;0;3;3028
2729;master;Peter Hurford;2014;1;5;1;3023
2730;expert;Abhinand;2019;0;1;1;3023
2731;expert;Syed Hamza;2019;0;1;1;3023
2732;expert;HARRABI Raouf;2021;0;0;2;3022
2733;expert;fdd;2020;0;1;2;3021
2734;expert;leo;2018;0;2;2;3020
2735;expert;Shingo.S;2018;0;0;2;3018
2736;master;nurbs;2019;2;3;1;3018
2737;expert;AlexanderCh;2017;0;1;2;3016
2738;expert;Yibin Xie;2019;0;1;2;3014
2739;expert;Hiro;2019;0;0;2;3010
2740;master;Dmitriy Ukrainskiy;2017;1;4;1;3007
2741;expert;Aravind Pillai;2017;0;2;6;3005
2742;expert;wasupandceacar;2020;0;2;0;3004
2743;expert;yunxi;2017;0;1;3;3001
2744;expert;Seva Konyakhin;2020;0;1;1;3001
2745;expert;habakan;2016;0;3;1;3000
2746;expert;Abs Ran;2018;1;1;0;3000
2747;expert;syoya;2018;0;1;2;2995
2748;expert;Yulia Goncharenko;2018;0;2;1;2995
2749;master;Shuo-Jen, Chang;2017;2;4;1;2992
2750;expert;Julie;2017;0;1;3;2991
2751;expert;crinoid;2020;0;1;1;2989
2752;master;toshif;2018;2;3;5;2988
2753;expert;Indranil Bhattacharya;2016;0;4;4;2986
2754;master;Valentina Biryukova;2016;1;3;2;2986
2755;expert;Vlad Yelisieiev;2019;0;2;0;2986
2756;master;Kostadinov;2016;1;4;2;2985
2757;expert;Mass;2020;0;1;1;2985
2758;expert;??????;2018;0;2;3;2979
2759;expert;Karsten Tiemann;2019;0;3;4;2979
2760;master;Neil Slater;2013;1;7;2;2978
2761;expert;huutrinh;2018;1;1;4;2974
2762;expert;Ishan Bhandari;2021;0;2;0;2973
2763;expert;ricchan-boy;2017;0;1;1;2972
2764;expert;Swati Anand;2020;0;1;1;2972
2765;grandmaster;José A. Guerrero;2011;11;21;11;2971
2766;master;ZadrraS;2015;2;2;3;2969
2767;expert;Micha? Choi?ski;2018;0;1;1;2965
2768;grandmaster;José H. Solórzano;2011;5;8;4;2964
2769;expert;Utkarsh Tripathi;2018;0;1;2;2963
2770;expert;Captain;2019;1;1;1;2963
2771;expert;Du_yuan;2020;0;2;0;2963
2772;expert;jxiao;2015;0;1;1;2962
